"location","origin","clock","epidemic","model","event_date","event_year","age","current","truth","median","wis","absolute_error","coverage90"
"Alabama",2025-01-02,"calendar","hsgp","hurdle_ztnb",2024-11-30,2024,4,65,65,66,1.16606060606061,1,TRUE
"Alabama",2025-01-02,"calendar","hsgp","hurdle_ztnb",2024-12-07,2024,3,102,102,105,1.86606060606061,3,TRUE
"Alabama",2025-01-02,"calendar","hsgp","hurdle_ztnb",2024-12-14,2024,2,193,193,195,1.45257575757576,2,TRUE
"Alabama",2025-01-02,"calendar","hsgp","hurdle_ztnb",2024-12-21,2024,1,437,437,439.5,2.36166666666667,2.5,TRUE
"Alabama",2025-01-02,"calendar","hsgp","hurdle_ztnb",2024-12-28,2024,0,664,667,666,2.84181818181819,1,TRUE
"Alabama",2025-01-02,"calendar","hsgp","hurdle_ztpoisson",2024-11-30,2024,4,65,65,65,0.0295454545454546,0,TRUE
"Alabama",2025-01-02,"calendar","hsgp","hurdle_ztpoisson",2024-12-07,2024,3,102,102,102,0.0795454545454548,0,TRUE
"Alabama",2025-01-02,"calendar","hsgp","hurdle_ztpoisson",2024-12-14,2024,2,193,193,194.5,1.05136363636364,1.5,TRUE
"Alabama",2025-01-02,"calendar","hsgp","hurdle_ztpoisson",2024-12-21,2024,1,437,437,437,1.09772727272727,0,TRUE
"Alabama",2025-01-02,"calendar","hsgp","hurdle_ztpoisson",2024-12-28,2024,0,664,667,671,6.83454545454545,4,TRUE
"Alabama",2025-01-02,"calendar","sir","hurdle_ztnb",2024-11-30,2024,4,65,65,65,0.0118181818181819,0,TRUE
"Alabama",2025-01-02,"calendar","sir","hurdle_ztnb",2024-12-07,2024,3,102,102,102,0.00590909090909084,0,TRUE
"Alabama",2025-01-02,"calendar","sir","hurdle_ztnb",2024-12-14,2024,2,193,193,193,0.0236363636363636,0,TRUE
"Alabama",2025-01-02,"calendar","sir","hurdle_ztnb",2024-12-21,2024,1,437,437,437,0.967424242424243,0,TRUE
"Alabama",2025-01-02,"calendar","sir","hurdle_ztnb",2024-12-28,2024,0,664,667,664,1.62030303030303,3,TRUE
"Alabama",2025-01-02,"calendar","sir","hurdle_ztpoisson",2024-11-30,2024,4,65,65,65,0.0177272727272728,0,TRUE
"Alabama",2025-01-02,"calendar","sir","hurdle_ztpoisson",2024-12-07,2024,3,102,102,106,2.39560606060606,4,TRUE
"Alabama",2025-01-02,"calendar","sir","hurdle_ztpoisson",2024-12-14,2024,2,193,193,193,0.0383333333333331,0,TRUE
"Alabama",2025-01-02,"calendar","sir","hurdle_ztpoisson",2024-12-21,2024,1,437,437,437,0.369242424242425,0,TRUE
"Alabama",2025-01-02,"calendar","sir","hurdle_ztpoisson",2024-12-28,2024,0,664,667,665.5,2.64651515151515,1.5,TRUE
