"location","origin","clock","epidemic","model","event_date","event_year","age","current","truth","median","wis","absolute_error","coverage90"
"Alabama",2025-01-02,"calendar","hsgp","hurdle_ztnb",2024-11-30,2024,4,65,65,65,0.637727272727272,0,TRUE
"Alabama",2025-01-02,"calendar","hsgp","hurdle_ztnb",2024-12-07,2024,3,102,102,103,0.972727272727273,1,TRUE
"Alabama",2025-01-02,"calendar","hsgp","hurdle_ztnb",2024-12-14,2024,2,193,193,195,1.61424242424242,2,TRUE
"Alabama",2025-01-02,"calendar","hsgp","hurdle_ztnb",2024-12-21,2024,1,437,437,440,2.35590909090909,3,TRUE
"Alabama",2025-01-02,"calendar","hsgp","hurdle_ztnb",2024-12-28,2024,0,664,667,669,3.30348484848484,2,TRUE
"Alabama",2025-01-02,"calendar","hsgp","hurdle_ztpoisson",2024-11-30,2024,4,65,65,65,0.0272727272727273,0,TRUE
"Alabama",2025-01-02,"calendar","hsgp","hurdle_ztpoisson",2024-12-07,2024,3,102,102,102,0.1,0,TRUE
"Alabama",2025-01-02,"calendar","hsgp","hurdle_ztpoisson",2024-12-14,2024,2,193,193,193,0.514242424242424,0,TRUE
"Alabama",2025-01-02,"calendar","hsgp","hurdle_ztpoisson",2024-12-21,2024,1,437,437,437,1.36848484848485,0,TRUE
"Alabama",2025-01-02,"calendar","hsgp","hurdle_ztpoisson",2024-12-28,2024,0,664,667,668,4.62393939393939,1,TRUE
"Alabama",2025-01-02,"calendar","sir","hurdle_ztnb",2024-11-30,2024,4,65,65,65,0.0272727272727273,0,TRUE
"Alabama",2025-01-02,"calendar","sir","hurdle_ztnb",2024-12-07,2024,3,102,102,102,0.0636363636363637,0,TRUE
"Alabama",2025-01-02,"calendar","sir","hurdle_ztnb",2024-12-14,2024,2,193,193,193,0.0818181818181818,0,TRUE
"Alabama",2025-01-02,"calendar","sir","hurdle_ztnb",2024-12-21,2024,1,437,437,437,0.276515151515152,0,TRUE
"Alabama",2025-01-02,"calendar","sir","hurdle_ztnb",2024-12-28,2024,0,664,667,664,2.16242424242424,3,TRUE
"Alabama",2025-01-02,"calendar","sir","hurdle_ztpoisson",2024-11-30,2024,4,65,65,65,0.0090909090909091,0,TRUE
"Alabama",2025-01-02,"calendar","sir","hurdle_ztpoisson",2024-12-07,2024,3,102,102,105,1.98681818181818,3,TRUE
"Alabama",2025-01-02,"calendar","sir","hurdle_ztpoisson",2024-12-14,2024,2,193,193,193,0.128636363636364,0,TRUE
"Alabama",2025-01-02,"calendar","sir","hurdle_ztpoisson",2024-12-21,2024,1,437,437,437,0.6,0,TRUE
"Alabama",2025-01-02,"calendar","sir","hurdle_ztpoisson",2024-12-28,2024,0,664,667,664,2.32681818181818,3,TRUE
"Alabama",2025-02-15,"calendar","hsgp","hurdle_ztnb",2025-01-18,2025,4,490,490,490,1.06106060606061,0,TRUE
"Alabama",2025-02-15,"calendar","hsgp","hurdle_ztnb",2025-01-25,2025,3,632,632,633,1.84136363636363,1,TRUE
"Alabama",2025-02-15,"calendar","hsgp","hurdle_ztnb",2025-02-01,2025,2,742,742,744,2.45742424242424,2,TRUE
"Alabama",2025-02-15,"calendar","hsgp","hurdle_ztnb",2025-02-08,2025,1,652,663,658,4.7430303030303,5,TRUE
"Alabama",2025-02-15,"calendar","hsgp","hurdle_ztnb",2025-02-15,2025,0,391,415,401,10.3063636363636,14,TRUE
"Alabama",2025-02-15,"calendar","hsgp","hurdle_ztpoisson",2025-01-18,2025,4,490,490,490,0.0272727272727273,0,TRUE
"Alabama",2025-02-15,"calendar","hsgp","hurdle_ztpoisson",2025-01-25,2025,3,632,632,632,0.0751515151515151,0,TRUE
"Alabama",2025-02-15,"calendar","hsgp","hurdle_ztpoisson",2025-02-01,2025,2,742,742,742,0.255909090909091,0,TRUE
"Alabama",2025-02-15,"calendar","hsgp","hurdle_ztpoisson",2025-02-08,2025,1,652,663,652,6.77712121212121,11,TRUE
"Alabama",2025-02-15,"calendar","hsgp","hurdle_ztpoisson",2025-02-15,2025,0,391,415,391,21.9659090909091,24,TRUE
"Alabama",2025-02-15,"calendar","sir","hurdle_ztnb",2025-01-18,2025,4,490,490,490,0.0090909090909091,0,TRUE
"Alabama",2025-02-15,"calendar","sir","hurdle_ztnb",2025-01-25,2025,3,632,632,632,0.0454545454545455,0,TRUE
"Alabama",2025-02-15,"calendar","sir","hurdle_ztnb",2025-02-01,2025,2,742,742,742,0.204999999999997,0,TRUE
"Alabama",2025-02-15,"calendar","sir","hurdle_ztnb",2025-02-08,2025,1,652,663,652,7.78045454545456,11,TRUE
"Alabama",2025-02-15,"calendar","sir","hurdle_ztnb",2025-02-15,2025,0,391,415,391,16.6159090909091,24,TRUE
"Alabama",2025-02-15,"calendar","sir","hurdle_ztpoisson",2025-01-18,2025,4,490,490,491,0.836363636363636,1,TRUE
"Alabama",2025-02-15,"calendar","sir","hurdle_ztpoisson",2025-01-25,2025,3,632,632,632,0.0363636363636364,0,TRUE
"Alabama",2025-02-15,"calendar","sir","hurdle_ztpoisson",2025-02-01,2025,2,742,742,742,0.0818181818181818,0,TRUE
"Alabama",2025-02-15,"calendar","sir","hurdle_ztpoisson",2025-02-08,2025,1,652,663,652,9.74681818181819,11,FALSE
"Alabama",2025-02-15,"calendar","sir","hurdle_ztpoisson",2025-02-15,2025,0,391,415,391,20.4809090909091,24,FALSE
"Alabama",2025-03-29,"calendar","hsgp","hurdle_ztnb",2025-03-01,2025,4,330,330,330,0.2,0,TRUE
"Alabama",2025-03-29,"calendar","hsgp","hurdle_ztnb",2025-03-08,2025,3,315,315,315,0.392272727272727,0,TRUE
"Alabama",2025-03-29,"calendar","hsgp","hurdle_ztnb",2025-03-15,2025,2,273,273,273,0.596060606060606,0,TRUE
"Alabama",2025-03-29,"calendar","hsgp","hurdle_ztnb",2025-03-22,2025,1,193,193,193,1.17015151515151,0,TRUE
"Alabama",2025-03-29,"calendar","hsgp","hurdle_ztnb",2025-03-29,2025,0,162,169,163,3.35969696969697,6,TRUE
"Alabama",2025-03-29,"calendar","hsgp","hurdle_ztpoisson",2025-03-01,2025,4,330,330,330,0,0,TRUE
"Alabama",2025-03-29,"calendar","hsgp","hurdle_ztpoisson",2025-03-08,2025,3,315,315,315,0,0,TRUE
"Alabama",2025-03-29,"calendar","hsgp","hurdle_ztpoisson",2025-03-15,2025,2,273,273,273,0.0363636363636364,0,TRUE
"Alabama",2025-03-29,"calendar","hsgp","hurdle_ztpoisson",2025-03-22,2025,1,193,193,193,0.345454545454546,0,TRUE
"Alabama",2025-03-29,"calendar","hsgp","hurdle_ztpoisson",2025-03-29,2025,0,162,169,162,5.06848484848485,7,TRUE
"Alabama",2025-03-29,"calendar","sir","hurdle_ztnb",2025-03-01,2025,4,330,330,330,0,0,TRUE
"Alabama",2025-03-29,"calendar","sir","hurdle_ztnb",2025-03-08,2025,3,315,315,315,0.0104545454545453,0,TRUE
"Alabama",2025-03-29,"calendar","sir","hurdle_ztnb",2025-03-15,2025,2,273,273,273,0.0545454545454546,0,TRUE
"Alabama",2025-03-29,"calendar","sir","hurdle_ztnb",2025-03-22,2025,1,193,193,193,0.301363636363637,0,TRUE
"Alabama",2025-03-29,"calendar","sir","hurdle_ztnb",2025-03-29,2025,0,162,169,162,4.03348484848485,7,TRUE
"Alabama",2025-03-29,"calendar","sir","hurdle_ztpoisson",2025-03-01,2025,4,330,330,330,0,0,TRUE
"Alabama",2025-03-29,"calendar","sir","hurdle_ztpoisson",2025-03-08,2025,3,315,315,315,0,0,TRUE
"Alabama",2025-03-29,"calendar","sir","hurdle_ztpoisson",2025-03-15,2025,2,273,273,273,0,0,TRUE
"Alabama",2025-03-29,"calendar","sir","hurdle_ztpoisson",2025-03-22,2025,1,193,193,193,0,0,TRUE
"Alabama",2025-03-29,"calendar","sir","hurdle_ztpoisson",2025-03-29,2025,0,162,169,162,7,7,FALSE
"Alabama",2025-04-26,"calendar","hsgp","hurdle_ztnb",2025-03-29,2025,4,167,169,167,1.87272727272727,2,FALSE
"Alabama",2025-04-26,"calendar","hsgp","hurdle_ztnb",2025-04-05,2025,3,85,85,85,0.0674242424242421,0,TRUE
"Alabama",2025-04-26,"calendar","hsgp","hurdle_ztnb",2025-04-12,2025,2,53,54,53,0.746818181818182,1,TRUE
