"location","epidemic","model","targets","mean_wis","mean_absolute_error","median_absolute_error","median_signed_error","coverage90"
"Alabama","ar1","hurdle_ztnb",25,1.57792727272727,2,0,0,0.96
"Alabama","ar1","hurdle_ztpoisson",25,1.69929090909091,2.08,0,0,0.8
"Alabama","hsgp","hurdle_ztnb",25,1.59708484848485,1.6,0,0,0.96
"Alabama","hsgp","hurdle_ztpoisson",25,1.81807272727273,1.88,0,0,0.96
"Alabama","sir","hurdle_ztnb",25,1.58874545454546,2,0,0,0.96
"Alabama","sir","hurdle_ztpoisson",25,1.88934545454545,2.12,0,0,0.76
"Alaska","ar1","hurdle_ztnb",25,2.47619393939394,3.52,2,-2,0.8
"Alaska","ar1","hurdle_ztpoisson",25,2.24449090909091,3.42,2,-2,0.84
"Alaska","hsgp","hurdle_ztnb",25,2.18498181818182,3.44,2,-2,0.88
"Alaska","hsgp","hurdle_ztpoisson",25,1.9736303030303,3.04,2,-2,0.96
"Alaska","sir","hurdle_ztnb",25,2.5972,3.66,2,-2,0.76
"Alaska","sir","hurdle_ztpoisson",25,2.80635151515152,3.56,2,-2,0.6
"Arizona","ar1","hurdle_ztnb",25,33.4156545454545,21.42,22,-3.5,0.92
"Arizona","ar1","hurdle_ztpoisson",25,26.0385272727273,37.92,29,-27,0.72
"Arizona","hsgp","hurdle_ztnb",25,15.9434242424242,18.3,16,-9,0.84
"Arizona","hsgp","hurdle_ztpoisson",25,27.5995515151515,28.26,25,-17,0.56
"Arizona","sir","hurdle_ztnb",25,14.6258787878788,19.08,17,-9,0.92
"Arizona","sir","hurdle_ztpoisson",25,21.5405212121212,19,16,-11,0.68
"Arkansas","ar1","hurdle_ztnb",25,12.243496969697,14.3,2,-2,0.8
"Arkansas","ar1","hurdle_ztpoisson",25,10.9213454545455,13.6,3,-1,0.68
"Arkansas","hsgp","hurdle_ztnb",25,7.84046666666667,12.16,3,-1,0.88
"Arkansas","hsgp","hurdle_ztpoisson",25,9.09348484848485,12.38,4,-1,0.72
"Arkansas","sir","hurdle_ztnb",25,12.3742727272727,14.52,2,-2,0.8
"Arkansas","sir","hurdle_ztpoisson",25,11.6922303030303,13.9,2,-1,0.64
"California","ar1","hurdle_ztnb",25,89.8969151515152,104.46,21.5,-21.5,0.64
"California","ar1","hurdle_ztpoisson",25,105.738593939394,109.84,24,-24,0.04
"California","hsgp","hurdle_ztnb",25,71.3538242424242,95.92,21,-21,0.76
"California","hsgp","hurdle_ztpoisson",25,97.3307393939394,109.08,24,-24,0.36
"California","sir","hurdle_ztnb",25,99.2802363636364,109.44,23,-23,0.52
"California","sir","hurdle_ztpoisson",25,106.4026,109.84,24,-24,0
"Colorado","ar1","hurdle_ztnb",25,1.73166666666667,1.82,0.5,0,0.96
"Colorado","ar1","hurdle_ztpoisson",25,1.75637575757576,2.28,0,0,0.8
"Colorado","hsgp","hurdle_ztnb",25,2.24993333333333,2.34,0,0,0.96
"Colorado","hsgp","hurdle_ztpoisson",25,2.06006060606061,1.84,0,0,0.88
"Colorado","sir","hurdle_ztnb",25,1.44574545454545,1.88,1,0,0.96
"Colorado","sir","hurdle_ztpoisson",25,1.72086060606061,2.24,0,0,0.76
"Connecticut","ar1","hurdle_ztnb",25,2.33009696969697,2.52,0,0,0.96
"Connecticut","ar1","hurdle_ztpoisson",25,1.98688484848485,2.36,0,0,0.88
"Connecticut","hsgp","hurdle_ztnb",25,2.55447272727273,3.18,0,0,0.96
"Connecticut","hsgp","hurdle_ztpoisson",25,2.29202424242424,2.4,0,0,0.92
"Connecticut","sir","hurdle_ztnb",25,1.99073333333333,2.4,0,0,0.92
"Connecticut","sir","hurdle_ztpoisson",25,2.05539393939394,2.3,0,0,0.88
"Delaware","ar1","hurdle_ztnb",25,16.8986727272727,17.72,9,-9,0.44
"Delaware","ar1","hurdle_ztpoisson",25,15.1754727272727,17.56,9,-9,0.48
"Delaware","hsgp","hurdle_ztnb",25,15.0557575757576,17.26,9,-9,0.36
"Delaware","hsgp","hurdle_ztpoisson",25,13.546296969697,17.18,9,-9,0.44
"Delaware","sir","hurdle_ztnb",25,17.72,17.72,9,-9,0.24
"Delaware","sir","hurdle_ztpoisson",25,17.72,17.72,9,-9,0.24
"District of Columbia","ar1","hurdle_ztnb",25,3.45902424242424,3.86,1,0,0.6
"District of Columbia","ar1","hurdle_ztpoisson",25,2.95553333333333,3.7,2,0,0.68
"District of Columbia","hsgp","hurdle_ztnb",25,2.79173333333333,3.6,2,0,0.72
"District of Columbia","hsgp","hurdle_ztpoisson",25,2.91749090909091,3.64,1,0,0.76
"District of Columbia","sir","hurdle_ztnb",25,3.84,3.84,1,0,0.48
"District of Columbia","sir","hurdle_ztpoisson",25,3.84,3.84,1,0,0.48
"Florida","ar1","hurdle_ztnb",25,44.6011454545455,60.34,22.5,-22.5,0.8
"Florida","ar1","hurdle_ztpoisson",25,62.6680666666667,66.48,28,-28,0.12
"Florida","hsgp","hurdle_ztnb",25,32.5689454545455,55.5,19,-19,0.92
"Florida","hsgp","hurdle_ztpoisson",25,53.2947878787879,65.18,28,-28,0.56
"Florida","sir","hurdle_ztnb",25,54.3495212121212,65.84,26,-26,0.68
"Florida","sir","hurdle_ztpoisson",25,64.2713090909091,66.48,28,-28,0.08
"Georgia","ar1","hurdle_ztnb",25,21.397,24.26,4,-1,0.84
"Georgia","ar1","hurdle_ztpoisson",25,20.320696969697,23.76,3,-2,0.8
"Georgia","hsgp","hurdle_ztnb",25,12.8384848484849,19.38,2.5,-1,0.96
"Georgia","hsgp","hurdle_ztpoisson",25,18.2030181818182,23.16,2,-2,0.84
"Georgia","sir","hurdle_ztnb",25,21.9651090909091,24.22,2,-2,0.8
"Georgia","sir","hurdle_ztpoisson",25,20.2942787878788,23.98,2,-2,0.76
"Hawaii","ar1","hurdle_ztnb",25,0.745472727272727,0.64,0,0,0.96
"Hawaii","ar1","hurdle_ztpoisson",25,1.1716,1.08,0,0,1
"Hawaii","hsgp","hurdle_ztnb",25,1.3184303030303,1.56,0,0,1
"Hawaii","hsgp","hurdle_ztpoisson",25,1.65731515151515,1.52,0,0,1
"Hawaii","sir","hurdle_ztnb",25,0.799345454545455,0.7,0,0,1
"Hawaii","sir","hurdle_ztpoisson",25,0.763618181818182,0.92,0,0,1
"Idaho","ar1","hurdle_ztnb",25,2.60813939393939,3.24,0,0,0.8
"Idaho","ar1","hurdle_ztpoisson",25,2.5999696969697,3.24,0,0,0.84
"Idaho","hsgp","hurdle_ztnb",25,2.1442303030303,2.98,0,0,0.88
"Idaho","hsgp","hurdle_ztpoisson",25,2.34859393939394,3.36,0,0,0.88
"Idaho","sir","hurdle_ztnb",25,3.24,3.24,0,0,0.56
"Idaho","sir","hurdle_ztpoisson",25,3.24,3.24,0,0,0.56
"Illinois","ar1","hurdle_ztnb",25,26.6200181818182,29.98,5,-2,0.72
"Illinois","ar1","hurdle_ztpoisson",25,29.0044363636364,30.44,4.5,-3,0.32
"Illinois","hsgp","hurdle_ztnb",25,18.2488060606061,26.56,5,-1,0.76
"Illinois","hsgp","hurdle_ztpoisson",25,26.7276727272727,31.14,5,-3,0.76
"Illinois","sir","hurdle_ztnb",25,26.9638545454545,30.78,3,-3,0.72
"Illinois","sir","hurdle_ztpoisson",25,29.3847696969697,30.8,4,-4,0.36
"Indiana","ar1","hurdle_ztnb",25,18.1595757575758,19.84,1,0,0.8
"Indiana","ar1","hurdle_ztpoisson",25,26.6316727272727,34.64,1,-1,0.68
"Indiana","hsgp","hurdle_ztnb",25,16.3479151515152,21.5,1,-1,0.88
"Indiana","hsgp","hurdle_ztpoisson",25,15.0448666666667,21.7,4,-0.5,0.88
"Indiana","sir","hurdle_ztnb",25,17.1068484848485,19.76,1,-1,0.76
"Indiana","sir","hurdle_ztpoisson",25,22.744296969697,26.04,1,-1,0.6
"Iowa","ar1","hurdle_ztnb",25,6.35198181818182,7.28,2,0,0.8
