"location","origin","clock","model","nll","convergence","max_gradient","gradient_status","finite_fit","finite_prediction","leakage_ok","use_random","retraction_mass","q_C_min","q_C_max","q_terminal","reconstruction","negative_projection_count","n_cells","fit_seconds","warnings"
"Alabama",2025-01-02,"calendar","cumulative_poisson",3562.35673718676,0,0.00182415739165304,"pass",TRUE,TRUE,TRUE,TRUE,0.0394898322964003,0.909743103860977,0.967326708215969,0.960516052412759,"anchored independent signed-Poisson update approximation",0,1539,3.808,""
"Alabama",2025-01-02,"calendar","cumulative_nb",3784.4895715702,0,0.00521743946082331,"pass",TRUE,TRUE,TRUE,TRUE,0.0213721288125188,0.931493164144311,0.988842994584293,0.978627874388274,"anchored independent signed-Poisson update approximation",0,1539,6.655,""
"Alabama",2025-01-02,"calendar","hurdle_ztnb",599.788230013518,0,0.000167794744569072,"pass",TRUE,TRUE,TRUE,FALSE,0.0372506535111086,0.911897721414365,0.962751928542785,0.962751928542785,"anchored sequential hurdle updates",2,1539,3.481,""
"Alabama",2025-01-02,"calendar","hurdle_ztpoisson",653.294273924663,0,0.00346009268271474,"pass",TRUE,TRUE,TRUE,FALSE,0.0233054642927905,0.942870789982896,0.976695920384973,0.976695920384973,"anchored sequential hurdle updates",1,1539,3.496,""
"Alabama",2025-01-02,"compressed","cumulative_poisson",2171.77533570865,0,7.69630964586598e-06,"pass",TRUE,TRUE,TRUE,TRUE,0.0787973642182249,0.916614181877616,0.92807176837793,0.921208860128376,"anchored independent signed-Poisson update approximation",0,648,2.057,""
"Alabama",2025-01-02,"compressed","cumulative_nb",2386.00881601847,0,0.000112716856994655,"pass",TRUE,TRUE,TRUE,TRUE,0.0915423704728665,0.903731308750073,0.916348146467795,0.908464627399326,"anchored independent signed-Poisson update approximation",0,648,2.42,""
"Alabama",2025-01-02,"compressed","hurdle_ztnb",580.745390424587,0,0.000122103717996147,"pass",TRUE,TRUE,TRUE,FALSE,0.0467858692111128,0.953239078436138,0.974324662016334,0.953239078436138,"anchored sequential hurdle updates",4,648,3.15600000000001,""
"Alabama",2025-01-02,"compressed","hurdle_ztpoisson",573.741818888891,0,0.00534416503581233,"pass",TRUE,TRUE,TRUE,FALSE,0.0437795007341373,0.956241539477187,0.984909977896988,0.956241539477187,"anchored sequential hurdle updates",0,648,3.09,""
"Alabama",2025-02-15,"calendar","cumulative_poisson",4942.73885265057,0,0.00419816448854871,"pass",TRUE,TRUE,TRUE,TRUE,0.0206560230979765,0.825051027900477,0.999979754144695,0.979343976902024,"anchored independent signed-Poisson update approximation",0,1728,3.107,""
"Alabama",2025-02-15,"calendar","cumulative_nb",4681.47680636213,0,0.00189555457743928,"pass",TRUE,TRUE,TRUE,TRUE,0.0269066263519962,0.823511054917824,0.982046408147485,0.973093375559319,"anchored independent signed-Poisson update approximation",0,1728,4.84400000000001,""
"Alabama",2025-02-15,"calendar","hurdle_ztnb",722.979212238278,0,0.000921387455124378,"pass",TRUE,TRUE,TRUE,FALSE,0.0514563043437179,0.864305652596464,0.948546381602788,0.948546381602788,"anchored sequential hurdle updates",0,1728,4.053,""
"Alabama",2025-02-15,"calendar","hurdle_ztpoisson",955.232952490899,0,0.00778549335492507,"pass",TRUE,TRUE,TRUE,FALSE,0.109350234336695,0.863148381632464,0.890650030562836,0.890650030562836,"anchored sequential hurdle updates",0,1728,4.336,""
"Alabama",2025-02-15,"compressed","cumulative_poisson",2662.48165863605,0,0.000186645348581038,"pass",TRUE,TRUE,TRUE,TRUE,0.0344617405299851,0.94725853729316,0.980258224676396,0.965543154643607,"anchored independent signed-Poisson update approximation",0,783,2.137,""
"Alabama",2025-02-15,"compressed","cumulative_nb",2889.64917799192,0,0.00137250710073872,"pass",TRUE,TRUE,TRUE,TRUE,0.0398729026650639,0.939504022108506,0.975811207076694,0.960132752389586,"anchored independent signed-Poisson update approximation",0,783,2.30800000000001,"NA/NaN function evaluation"
"Alabama",2025-02-15,"compressed","hurdle_ztnb",703.418363800722,0,0.00373231171863253,"pass",TRUE,TRUE,TRUE,FALSE,0.0410007586048704,0.959023722407806,0.978413179831053,0.959023722407806,"anchored sequential hurdle updates",3,783,3.35199999999999,""
"Alabama",2025-02-15,"compressed","hurdle_ztpoisson",686.806194252328,0,0.00559118472198354,"pass",TRUE,TRUE,TRUE,FALSE,0.0492818427753577,0.950745306286014,0.988004434194829,0.950745306286014,"anchored sequential hurdle updates",0,783,2.973,""
"Alabama",2025-03-29,"calendar","cumulative_poisson",5483.96167329171,0,0.00121175657216499,"pass",TRUE,TRUE,TRUE,TRUE,0.00538666318205966,0.842158454882901,0.996081713485077,0.994613336838121,"anchored independent signed-Poisson update approximation",0,1890,2.996,""
"Alabama",2025-03-29,"calendar","cumulative_nb",5254.05625780304,0,0.00609391560825379,"pass",TRUE,TRUE,TRUE,TRUE,0.016817172282501,0.842621954421963,0.983182830966157,0.983182830966157,"anchored independent signed-Poisson update approximation",0,1890,5.32899999999999,"NA/NaN function evaluation"
"Alabama",2025-03-29,"calendar","hurdle_ztnb",821.453574255159,0,0.0010473103461246,"pass",TRUE,TRUE,TRUE,FALSE,0.0401634380284051,0.870200027788172,0.959838247066297,0.959838247066297,"anchored sequential hurdle updates",1,1890,3.845,""
"Alabama",2025-03-29,"calendar","hurdle_ztpoisson",1064.7745638006,0,0.0187410389851925,"pass",TRUE,TRUE,TRUE,FALSE,0.0788019284584963,0.864871299586012,0.921198193333835,0.921198193333835,"anchored sequential hurdle updates",0,1890,3.69199999999999,""
"Alabama",2025-03-29,"compressed","cumulative_poisson",3226.47826914663,0,0.00396850249014979,"pass",TRUE,TRUE,TRUE,TRUE,0.0124142281871945,0.984806992926793,1,0.987585771812805,"anchored independent signed-Poisson update approximation",0,945,2.506,""
"Alabama",2025-03-29,"compressed","cumulative_nb",3470.84987320776,0,0.00107113631210709,"pass",TRUE,TRUE,TRUE,TRUE,0.0131488276357767,0.984352605171789,1,0.986851172364223,"anchored independent signed-Poisson update approximation",0,945,2.65899999999999,"NA/NaN function evaluation"
"Alabama",2025-03-29,"compressed","hurdle_ztnb",804.729911357379,0,0.000561907623154667,"pass",TRUE,TRUE,TRUE,FALSE,0.0282021909343254,0.960751663132108,0.986338464554097,0.971801721691247,"anchored sequential hurdle updates",0,945,3.91299999999998,""
"Alabama",2025-03-29,"compressed","hurdle_ztpoisson",812.064509810262,0,0.00272224535606114,"pass",TRUE,TRUE,TRUE,FALSE,0.0479895684264838,0.952043602439299,0.981602653157692,0.952043602439299,"anchored sequential hurdle updates",0,945,4.06899999999999,""
"Alabama",2025-04-26,"calendar","cumulative_poisson",5876.40833324041,0,0.000469697269454672,"pass",TRUE,TRUE,TRUE,TRUE,0.00435161692878245,0.846215006852229,0.997023887450872,0.995648383080968,"anchored independent signed-Poisson update approximation",0,1998,3.82300000000001,""
"Alabama",2025-04-26,"calendar","cumulative_nb",5694.50990278383,0,0.00312585964511292,"pass",TRUE,TRUE,TRUE,TRUE,0.0130453810466712,0.85096264399601,0.987015308863159,0.986954619348061,"anchored independent signed-Poisson update approximation",0,1998,6.124,""
"Alabama",2025-04-26,"calendar","hurdle_ztnb",1011.76700893015,0,1.47474608885867e-05,"pass",TRUE,TRUE,TRUE,FALSE,0.0516839060118737,0.880214284561762,0.951023723787861,0.948319381413513,"anchored sequential hurdle updates",5,1998,5.19800000000001,""
