"location","origin","clock","model","event_date","event_year","age","current","truth","median","wis","absolute_error","coverage90"
"Alabama",2025-01-02,"calendar","empirical_multiplier",2024-11-30,2024,4,65,65,65,0,0,TRUE
"Alabama",2025-01-02,"calendar","empirical_multiplier",2024-12-07,2024,3,102,102,102,0,0,TRUE
"Alabama",2025-01-02,"calendar","empirical_multiplier",2024-12-14,2024,2,193,193,193,0,0,TRUE
"Alabama",2025-01-02,"calendar","empirical_multiplier",2024-12-21,2024,1,437,437,437,0,0,TRUE
"Alabama",2025-01-02,"calendar","empirical_multiplier",2024-12-28,2024,0,664,667,664,3,3,FALSE
"Alabama",2025-01-02,"calendar","cumulative_poisson",2024-11-30,2024,4,65,65,65,0.227272727272727,0,TRUE
"Alabama",2025-01-02,"calendar","cumulative_poisson",2024-12-07,2024,3,102,102,102,0.446818181818182,0,TRUE
"Alabama",2025-01-02,"calendar","cumulative_poisson",2024-12-14,2024,2,193,193,192,1.04681818181818,1,TRUE
"Alabama",2025-01-02,"calendar","cumulative_poisson",2024-12-21,2024,1,437,437,438,1.93772727272727,1,TRUE
"Alabama",2025-01-02,"calendar","cumulative_poisson",2024-12-28,2024,0,664,667,691,14.6183333333333,24,TRUE
"Alabama",2025-01-02,"calendar","cumulative_nb",2024-11-30,2024,4,65,65,65,0.0272727272727273,0,TRUE
"Alabama",2025-01-02,"calendar","cumulative_nb",2024-12-07,2024,3,102,102,102,0.0727272727272727,0,TRUE
"Alabama",2025-01-02,"calendar","cumulative_nb",2024-12-14,2024,2,193,193,192,0.509090909090909,1,TRUE
"Alabama",2025-01-02,"calendar","cumulative_nb",2024-12-21,2024,1,437,437,433,2.64272727272727,4,TRUE
"Alabama",2025-01-02,"calendar","cumulative_nb",2024-12-28,2024,0,664,667,698,23.6386363636364,31,FALSE
"Alabama",2025-01-02,"calendar","hurdle_ztnb",2024-11-30,2024,4,65,65,65,0.0090909090909091,0,TRUE
"Alabama",2025-01-02,"calendar","hurdle_ztnb",2024-12-07,2024,3,102,102,102,0.0181818181818182,0,TRUE
"Alabama",2025-01-02,"calendar","hurdle_ztnb",2024-12-14,2024,2,193,193,193,0.110454545454545,0,TRUE
"Alabama",2025-01-02,"calendar","hurdle_ztnb",2024-12-21,2024,1,437,437,437,0.320909090909091,0,TRUE
"Alabama",2025-01-02,"calendar","hurdle_ztnb",2024-12-28,2024,0,664,667,664,1.64954545454546,3,TRUE
"Alabama",2025-01-02,"calendar","hurdle_ztpoisson",2024-11-30,2024,4,65,65,65,0.0104545454545453,0,TRUE
"Alabama",2025-01-02,"calendar","hurdle_ztpoisson",2024-12-07,2024,3,102,102,105,1.81818181818182,3,TRUE
"Alabama",2025-01-02,"calendar","hurdle_ztpoisson",2024-12-14,2024,2,193,193,193,0.2,0,TRUE
"Alabama",2025-01-02,"calendar","hurdle_ztpoisson",2024-12-21,2024,1,437,437,438,1.13772727272727,1,TRUE
"Alabama",2025-01-02,"calendar","hurdle_ztpoisson",2024-12-28,2024,0,664,667,668,3.19454545454545,1,TRUE
"Alabama",2025-01-02,"compressed","empirical_multiplier",2024-11-16,2024,4,44,44,44,0,0,TRUE
"Alabama",2025-01-02,"compressed","empirical_multiplier",2024-11-30,2024,3,65,65,65,0,0,TRUE
"Alabama",2025-01-02,"compressed","empirical_multiplier",2024-12-14,2024,2,193,193,193,0,0,TRUE
"Alabama",2025-01-02,"compressed","empirical_multiplier",2024-12-21,2024,1,437,437,437,0,0,TRUE
"Alabama",2025-01-02,"compressed","empirical_multiplier",2024-12-28,2024,0,664,667,664,3,3,FALSE
"Alabama",2025-01-02,"compressed","cumulative_poisson",2024-11-16,2024,4,44,44,44,0.1,0,TRUE
