"location","origin","clock","model","event_date","event_year","age","current","truth","median","wis","absolute_error","coverage90"
"Texas",2025-05-31,"calendar","empirical_multiplier",2025-05-03,2025,4,190,190,190,0,0,TRUE
"Texas",2025-05-31,"calendar","empirical_multiplier",2025-05-10,2025,3,167,175,167,8,8,FALSE
"Texas",2025-05-31,"calendar","empirical_multiplier",2025-05-17,2025,2,196,202,196,6,6,FALSE
"Texas",2025-05-31,"calendar","empirical_multiplier",2025-05-24,2025,1,131,141,131,10,10,FALSE
"Texas",2025-05-31,"calendar","empirical_multiplier",2025-05-31,2025,0,139,164,139,25,25,FALSE
"Texas",2025-05-31,"calendar","cumulative_poisson",2025-05-03,2025,4,190,190,190,0.0696969696969694,0,TRUE
"Texas",2025-05-31,"calendar","cumulative_poisson",2025-05-10,2025,3,167,175,167,7.91424242424242,8,FALSE
"Texas",2025-05-31,"calendar","cumulative_poisson",2025-05-17,2025,2,196,202,196,6.06954545454545,6,FALSE
"Texas",2025-05-31,"calendar","cumulative_poisson",2025-05-24,2025,1,131,141,131,9.06333333333333,10,FALSE
"Texas",2025-05-31,"calendar","cumulative_poisson",2025-05-31,2025,0,139,164,155,5.31393939393939,9,TRUE
"Texas",2025-05-31,"calendar","cumulative_nb",2025-05-03,2025,4,190,190,192,1.84136363636364,2,TRUE
"Texas",2025-05-31,"calendar","cumulative_nb",2025-05-10,2025,3,167,175,171,1.89348484848485,4,TRUE
"Texas",2025-05-31,"calendar","cumulative_nb",2025-05-17,2025,2,196,202,204,1.86530303030303,2,TRUE
"Texas",2025-05-31,"calendar","cumulative_nb",2025-05-24,2025,1,131,141,137.5,2.36106060606061,3.5,TRUE
"Texas",2025-05-31,"calendar","cumulative_nb",2025-05-31,2025,0,139,164,161,3.00121212121212,3,TRUE
"Texas",2025-05-31,"calendar","hurdle_ztnb",2025-05-03,2025,4,190,190,193,3.93,3,TRUE
"Texas",2025-05-31,"calendar","hurdle_ztnb",2025-05-10,2025,3,167,175,169,3.87742424242424,6,TRUE
"Texas",2025-05-31,"calendar","hurdle_ztnb",2025-05-17,2025,2,196,202,203,7.40227272727273,1,TRUE
"Texas",2025-05-31,"calendar","hurdle_ztnb",2025-05-24,2025,1,131,141,145.5,10.8119696969697,4.5,TRUE
"Texas",2025-05-31,"calendar","hurdle_ztnb",2025-05-31,2025,0,139,164,191.5,39.5698484848485,27.5,TRUE
"Texas",2025-05-31,"calendar","hurdle_ztpoisson",2025-05-03,2025,4,190,190,190,0,0,TRUE
"Texas",2025-05-31,"calendar","hurdle_ztpoisson",2025-05-10,2025,3,167,175,167,7.10181818181818,8,FALSE
"Texas",2025-05-31,"calendar","hurdle_ztpoisson",2025-05-17,2025,2,196,202,196,6,6,FALSE
"Texas",2025-05-31,"calendar","hurdle_ztpoisson",2025-05-24,2025,1,131,141,131,10.0118181818182,10,FALSE
"Texas",2025-05-31,"calendar","hurdle_ztpoisson",2025-05-31,2025,0,139,164,139,21.9642424242424,25,FALSE
"Texas",2025-05-31,"compressed","empirical_multiplier",2025-05-03,2025,4,190,190,190,0,0,TRUE
"Texas",2025-05-31,"compressed","empirical_multiplier",2025-05-10,2025,3,167,175,167,8,8,FALSE
"Texas",2025-05-31,"compressed","empirical_multiplier",2025-05-17,2025,2,196,202,196,6,6,FALSE
"Texas",2025-05-31,"compressed","empirical_multiplier",2025-05-24,2025,1,131,141,131,10,10,FALSE
"Texas",2025-05-31,"compressed","empirical_multiplier",2025-05-31,2025,0,139,164,139,25,25,FALSE
"Texas",2025-05-31,"compressed","cumulative_poisson",2025-05-03,2025,4,190,190,196,5.0419696969697,6,FALSE
"Texas",2025-05-31,"compressed","cumulative_poisson",2025-05-10,2025,3,167,175,174,0.958030303030303,1,TRUE
"Texas",2025-05-31,"compressed","cumulative_poisson",2025-05-17,2025,2,196,202,205,1.94409090909091,3,TRUE
"Texas",2025-05-31,"compressed","cumulative_poisson",2025-05-24,2025,1,131,141,140,1.18787878787879,1,TRUE
"Texas",2025-05-31,"compressed","cumulative_poisson",2025-05-31,2025,0,139,164,156.5,3.99045454545455,7.5,TRUE
"Texas",2025-05-31,"compressed","cumulative_nb",2025-05-03,2025,4,190,190,192,1.24984848484848,2,TRUE
"Texas",2025-05-31,"compressed","cumulative_nb",2025-05-10,2025,3,167,175,170.5,3.42,4.5,FALSE
"Texas",2025-05-31,"compressed","cumulative_nb",2025-05-17,2025,2,196,202,201,0.886363636363636,1,TRUE
"Texas",2025-05-31,"compressed","cumulative_nb",2025-05-24,2025,1,131,141,135.5,3.71242424242424,5.5,FALSE
"Texas",2025-05-31,"compressed","cumulative_nb",2025-05-31,2025,0,139,164,152,8.98409090909091,12,FALSE
