"location","origin","clock","model","event_date","event_year","age","current","truth","median","wis","absolute_error","coverage90"
"Texas",2025-05-31,"compressed","empirical_multiplier",2025-05-03,2025,4,190,190,190,0,0,TRUE
"Texas",2025-05-31,"compressed","empirical_multiplier",2025-05-10,2025,3,167,175,167,8,8,FALSE
"Texas",2025-05-31,"compressed","empirical_multiplier",2025-05-17,2025,2,196,202,196,6,6,FALSE
"Texas",2025-05-31,"compressed","empirical_multiplier",2025-05-24,2025,1,131,141,131,10,10,FALSE
"Texas",2025-05-31,"compressed","empirical_multiplier",2025-05-31,2025,0,139,164,139,25,25,FALSE
"Texas",2025-05-31,"compressed","cumulative_poisson",2025-05-03,2025,4,190,190,196.5,5.75515151515151,6.5,FALSE
"Texas",2025-05-31,"compressed","cumulative_poisson",2025-05-10,2025,3,167,175,173.5,0.987272727272727,1.5,TRUE
"Texas",2025-05-31,"compressed","cumulative_poisson",2025-05-17,2025,2,196,202,206,2.62166666666667,4,TRUE
"Texas",2025-05-31,"compressed","cumulative_poisson",2025-05-24,2025,1,131,141,140,1.06666666666667,1,TRUE
"Texas",2025-05-31,"compressed","cumulative_poisson",2025-05-31,2025,0,139,164,159,3.18212121212121,5,TRUE
"Texas",2025-05-31,"compressed","cumulative_nb",2025-05-03,2025,4,190,190,192,1.41045454545455,2,TRUE
"Texas",2025-05-31,"compressed","cumulative_nb",2025-05-10,2025,3,167,175,170,2.98924242424243,5,TRUE
"Texas",2025-05-31,"compressed","cumulative_nb",2025-05-17,2025,2,196,202,200.5,1.025,1.5,TRUE
"Texas",2025-05-31,"compressed","cumulative_nb",2025-05-24,2025,1,131,141,136,3.79651515151515,5,FALSE
"Texas",2025-05-31,"compressed","cumulative_nb",2025-05-31,2025,0,139,164,150,10.2034848484848,14,FALSE
"Texas",2025-05-31,"compressed","hurdle_ztnb",2025-05-03,2025,4,190,190,190,10.6751515151515,0,TRUE
"Texas",2025-05-31,"compressed","hurdle_ztnb",2025-05-10,2025,3,167,175,167,12.8233333333333,8,TRUE
"Texas",2025-05-31,"compressed","hurdle_ztnb",2025-05-17,2025,2,196,202,198.5,15.0689393939394,3.5,TRUE
"Texas",2025-05-31,"compressed","hurdle_ztnb",2025-05-24,2025,1,131,141,169,27.6572727272727,28,TRUE
"Texas",2025-05-31,"compressed","hurdle_ztnb",2025-05-31,2025,0,139,164,151,44.5713636363636,13,TRUE
"Texas",2025-05-31,"compressed","hurdle_ztpoisson",2025-05-03,2025,4,190,190,190,0.118181818181818,0,TRUE
"Texas",2025-05-31,"compressed","hurdle_ztpoisson",2025-05-10,2025,3,167,175,167,8,8,FALSE
"Texas",2025-05-31,"compressed","hurdle_ztpoisson",2025-05-17,2025,2,196,202,196,6,6,FALSE
"Texas",2025-05-31,"compressed","hurdle_ztpoisson",2025-05-24,2025,1,131,141,131,10,10,FALSE
"Texas",2025-05-31,"compressed","hurdle_ztpoisson",2025-05-31,2025,0,139,164,139,20.2778787878788,25,FALSE
