"location","clock","model","targets","mean_wis","mean_absolute_error","median_absolute_error","median_signed_error","coverage90"
"Alabama","calendar","cumulative_nb",25,3.21948484848485,4.6,1,0,0.92
"Alabama","calendar","cumulative_poisson",25,4.717,6.2,1,0,0.68
"Alabama","calendar","empirical_multiplier",25,1.96,1.96,0,0,0.72
"Alabama","calendar","hurdle_ztnb",25,1.57792727272727,2,0,0,0.96
"Alabama","calendar","hurdle_ztpoisson",25,1.69929090909091,2.08,0,0,0.8
"Alabama","compressed","cumulative_nb",25,2.51024242424242,3.5,1,-1,0.8
"Alabama","compressed","cumulative_poisson",25,2.49933333333333,3.38,1,-1,0.8
"Alabama","compressed","empirical_multiplier",25,1.96,1.96,0,0,0.72
"Alabama","compressed","hurdle_ztnb",25,2.16560606060606,2.2,0,0,0.84
"Alabama","compressed","hurdle_ztpoisson",25,4.23674545454546,6.12,3,-3,0.88
"Alaska","calendar","cumulative_nb",25,1.93575757575758,2.8,2,-2,0.72
"Alaska","calendar","cumulative_poisson",25,1.95249090909091,2.72,2,-2,0.72
"Alaska","calendar","empirical_multiplier",25,3.68,3.68,2,-2,0.04
"Alaska","calendar","hurdle_ztnb",25,2.47619393939394,3.52,2,-2,0.8
"Alaska","calendar","hurdle_ztpoisson",25,2.24449090909091,3.42,2,-2,0.84
"Alaska","compressed","cumulative_nb",25,2.99204242424242,3.7,2,-2,0.44
"Alaska","compressed","cumulative_poisson",25,3.03324848484848,3.72,2,-2,0.44
"Alaska","compressed","empirical_multiplier",25,3.84,3.84,2,-2,0.08
"Alaska","compressed","hurdle_ztnb",25,3.18281818181818,3.68,2,-2,0.4
"Alaska","compressed","hurdle_ztpoisson",25,3.05661818181818,3.64,2,-2,0.32
"Arizona","calendar","cumulative_nb",25,153.593551515152,199.88,138.5,138.5,0.12
"Arizona","calendar","cumulative_poisson",25,35.0853393939394,39.6,22,-3,0.24
"Arizona","calendar","empirical_multiplier",25,19.24,19.24,17,-9,0.04
"Arizona","calendar","hurdle_ztnb",25,33.4156545454545,21.42,22,-3.5,0.92
"Arizona","calendar","hurdle_ztpoisson",25,26.0385272727273,37.92,29,-27,0.72
"Arizona","compressed","cumulative_nb",25,17.1117151515151,18.14,16,-7,0.36
