"epidemic","delay","observation","use_random","objective","max_abs_gradient","finite","elapsed_seconds"
"AR","lognormal","cumulative",TRUE,490.959694668031,67.1760210694865,TRUE,0.613
"AR","lognormal","hurdle_ztnb",FALSE,354.512587462119,178.357135246643,TRUE,1.679
"AR","lognormal","hurdle_ztpoisson",FALSE,686.358891043978,785.024803364238,TRUE,0.412999999999999
"AR","gamma","cumulative",TRUE,490.938105469686,67.1861407420318,TRUE,0.0859999999999985
"AR","gamma","hurdle_ztnb",FALSE,352.887775628283,183.789333425301,TRUE,0.488
"AR","gamma","hurdle_ztpoisson",FALSE,666.588883763783,775.113689612124,TRUE,0.380000000000001
"AR","generalized_gamma","cumulative",TRUE,502.797954069721,67.1966587908024,TRUE,0.0840000000000014
"AR","generalized_gamma","hurdle_ztnb",FALSE,362.659603645963,187.727499438672,TRUE,0.503
"AR","generalized_gamma","hurdle_ztpoisson",FALSE,643.54492837867,746.231785392323,TRUE,0.403
"HSGP","lognormal","cumulative",TRUE,483.016688483945,66.6272108209831,TRUE,0.0449999999999999
"HSGP","lognormal","hurdle_ztnb",FALSE,340.235830543688,178.357135246643,TRUE,0.510999999999999
"HSGP","lognormal","hurdle_ztpoisson",FALSE,672.082134125547,785.024803364238,TRUE,0.396000000000001
"HSGP","gamma","cumulative",TRUE,482.995925654554,66.6387943649924,TRUE,0.0450000000000017
"HSGP","gamma","hurdle_ztnb",FALSE,338.611018709851,183.789333425301,TRUE,0.52
"HSGP","gamma","hurdle_ztpoisson",FALSE,652.312126845352,775.113689612124,TRUE,0.422000000000001
"HSGP","generalized_gamma","cumulative",TRUE,494.856887612677,66.65593011368,TRUE,0.0470000000000006
"HSGP","generalized_gamma","hurdle_ztnb",FALSE,348.382846727532,187.727499438672,TRUE,0.504000000000001
"HSGP","generalized_gamma","hurdle_ztpoisson",FALSE,629.268171460239,746.231785392323,TRUE,0.427
"SIR","lognormal","cumulative",TRUE,493.424595740994,66.6205305636842,TRUE,0.0740000000000016
"SIR","lognormal","hurdle_ztnb",FALSE,371.216384148359,477.091688453437,TRUE,0.503
"SIR","lognormal","hurdle_ztpoisson",FALSE,892.895812567168,3511.37928994661,TRUE,0.436
"SIR","gamma","cumulative",TRUE,493.405951193999,66.6280922579923,TRUE,0.0579999999999998
"SIR","gamma","hurdle_ztnb",FALSE,369.53123122127,500.868345892285,TRUE,0.532999999999998
"SIR","gamma","hurdle_ztpoisson",FALSE,866.486305311413,3451.08504267432,TRUE,0.425999999999998
"SIR","generalized_gamma","cumulative",TRUE,505.282047362926,66.6237581851289,TRUE,0.0579999999999998
"SIR","generalized_gamma","hurdle_ztnb",FALSE,378.756605396281,522.592473143818,TRUE,0.550000000000001
"SIR","generalized_gamma","hurdle_ztpoisson",FALSE,829.755451201475,3297.55745085964,TRUE,0.417000000000002
