"location","origin","clock","original_convergence","original_gradient","strict_convergence","strict_gradient","strict_nll","q_terminal"
"Delaware",2025-03-29,"calendar",0,0.212547797471037,0,0.212547797471037,494.434312481617,0.896611522080251
"Delaware",2025-04-26,"calendar",0,0.16142730241039,0,0.16142730241039,518.861267302116,0.902598059579784
"Delaware",2025-04-26,"compressed",1,0.0998777464514908,1,0.0998777464514908,303.092106423177,0.955425524796647
"Delaware",2025-05-31,"calendar",1,0.0221382573277378,1,0.0221382573277378,536.061258619317,0.907344861336075
"Delaware",2025-05-31,"compressed",1,0.0526019405835083,1,0.0526019405835083,319.246959482738,0.956564272204335
"North Dakota",2025-05-31,"compressed",1,0.0146360677811833,1,0.0146360677811833,427.718162441883,0.983493438259289
"Rhode Island",2025-05-31,"compressed",1,0.0321500415718879,1,0.0321500415718879,478.660894135936,0.903364684132888
"South Dakota",2025-05-31,"compressed",1,0.0784412368093014,1,0.0784412368093014,565.741878284298,0.968159849103713
"US",2025-04-26,"calendar",0,0.105127339287853,0,0.105127339287853,4317.54551920605,0.987394492911276
"US",2025-05-31,"calendar",0,0.16011681523723,0,0.16011681523723,4970.60144669307,0.987881706652222
"Vermont",2025-01-02,"calendar",1,0.0579805316073536,1,0.0579805316073536,263.238471283497,0.972527352814478
