"state","cells","event_weeks","p_empirical","signed_zero_rate","first_reports","later_up","later_down","up_fraction_nonzero_mass"
"Alabama",904,64,0.99036951742908,0.904761904761905,9281,272,92,0.747252747252747
"Alaska",904,64,0.980039920159681,0.920238095238095,849,153,20,0.884393063583815
"Arizona",904,64,0.838384586884031,0.854761904761905,21018,5972,4362,0.577898200116122
"Arkansas",904,64,0.9914099889557,0.865476190476191,6871,1278,70,0.948071216617211
"California",904,64,0.992778083052045,0.771428571428571,47541,3415,368,0.902722706846418
"Colorado",904,64,0.993680884676145,0.925,9067,428,60,0.877049180327869
"Connecticut",904,64,0.991868694473724,0.980952380952381,6612,29,54,0.349397590361446
"Delaware",904,64,0.989708404802744,0.972619047619048,1619,130,18,0.878378378378378
"District of Columbia",904,64,0.966829268292683,0.944047619047619,1830,220,68,0.763888888888889
"Florida",904,64,0.995,0.798809523809524,46778,3996,107,0.973921520838411
"Georgia",904,64,0.995,0.817857142857143,15188,2289,55,0.976535836177474
"Hawaii",904,64,0.995,0.964285714285714,1612,162,3,0.981818181818182
"Idaho",904,64,0.974358974358974,0.945238095238095,3451,371,98,0.791044776119403
"Illinois",904,64,0.990138539545654,0.830952380952381,23224,1823,247,0.880676328502416
"Indiana",904,64,0.969319899244332,0.869047619047619,18263,1587,609,0.722677595628415
"Iowa",904,64,0.995,0.914285714285714,5472,485,18,0.964214711729622
"Kansas",904,64,0.959098059779759,0.892857142857143,5094,627,234,0.728222996515679
"Kentucky",904,64,0.99377819256494,0.89047619047619,11679,1179,80,0.936457505957109
"Louisiana",904,64,0.975522030172844,0.902380952380952,9173,836,245,0.773358001850139
"Maine",904,64,0.989920055613486,0.957142857142857,2756,121,29,0.806666666666667
"Maryland",904,64,0.995,0.926190476190476,9473,930,22,0.976890756302521
"Massachusetts",904,64,0.972577126830788,0.898809523809524,17783,1471,528,0.735867933966983
"Michigan",904,64,0.954558038362666,0.83452380952381,23358,1927,1149,0.626462938881664
"Minnesota",904,64,0.918796992481203,0.947619047619048,9749,226,810,0.218146718146718
"Mississippi",904,64,0.979575295834009,0.902380952380952,5760,409,126,0.764485981308411
"Missouri",904,64,0.992510485320551,0.847619047619048,13479,3211,125,0.962529976019185
"Montana",904,64,0.954792043399638,0.913095238095238,2440,325,125,0.722222222222222
"Nebraska",904,64,0.99057910778609,0.922619047619048,3394,215,34,0.863453815261044
"Nevada",904,64,0.98065581505072,0.904761904761905,3917,322,82,0.797029702970297
"New Hampshire",904,64,0.952136075949367,0.953571428571429,2092,436,121,0.782764811490126
"New Jersey",904,64,0.991964118856289,0.935714285714286,20909,495,172,0.742128935532234
"New Mexico",904,64,0.995,0.903571428571429,4354,731,9,0.987837837837838
"New York",904,64,0.995,0.835714285714286,38805,3012,180,0.943609022556391
"North Carolina",904,64,0.995,0.946428571428571,20090,1000,1,0.999000999000999
"North Dakota",904,64,0.989561586638831,0.948809523809524,1323,114,15,0.883720930232558
"Ohio",904,64,0.975726883785908,0.864285714285714,32295,2064,834,0.712215320910973
"Oklahoma",904,64,0.98060995810192,0.853571428571429,8417,1846,199,0.902689486552567
"Oregon",904,64,0.995,0.9,6175,833,27,0.968604651162791
"Pennsylvania",904,64,0.995,0.875,44473,1467,166,0.898346601347214
"Rhode Island",904,64,0.992033988316516,0.966666666666667,1698,185,15,0.925
"South Carolina",904,64,0.995,0.935714285714286,11193,458,32,0.93469387755102
"South Dakota",904,64,0.985474860335195,0.945238095238095,1643,147,26,0.84971098265896
"Tennessee",904,64,0.991597835374537,0.870238095238095,13273,771,118,0.86726659167604
"Texas",904,64,0.951510108699501,0.78452380952381,50528,5958,2739,0.685063815108658
"Utah",904,64,0.993567063364426,0.96547619047619,2983,126,20,0.863013698630137
"Vermont",904,64,0.987220447284345,0.967857142857143,1130,122,16,0.884057971014493
"Virginia",904,64,0.993652247889536,0.9,13983,1298,97,0.930465949820789
"Washington",904,64,0.829296916675557,0.89047619047619,8692,681,1600,0.298553266111355
"West Virginia",904,64,0.995,0.975,6621,82,17,0.828282828282828
"Wisconsin",904,64,0.995,0.929761904761905,11266,492,19,0.962818003913894
"Wyoming",904,64,0.983425414364641,0.957142857142857,1538,91,27,0.771186440677966
